	FRA02501_Loti.xml	FRA04102_Erckmann.xml	FRA03101_Ponson.xml	FRA07601_Leroux.xml	FRA05301_Galopin.xml	FRA02302_Greville.xml	FRA01603_GautierJ.xml	FRA02603_Malot.xml	FRA02901_Noailles.xml	FRA07401_Leblanc.xml	FRA07301_Valgand.xml	FRA06101_Sandeau.xml	FRA04001_Verne.xml	FRA01602_GautierJ.xml	FRA07201_Montagne.xml	FRA01902_Gaboriau.xml	FRA00701_Carraud.xml	FRA04301_Achard.xml	FRA05501_Lermina.xml	FRA03802_Stern.xml	FRA00601_Boisgobey.xml	FRA06401_Chandeneux.xml	FRA03903_Stolz.xml	FRA03001_Ohnet.xml	FRA01501_France.xml	FRA06901_Vignon.xml	FRA05702_Maquet.xml	FRA07501_Darien.xml	FRA00503_Balzac.xml	FRA05101_Eekhoud.xml	FRA02303_Greville.xml	FRA04501_Barres.xml	FRA04202_Rolland.xml	FRA02602_Malot.xml	FRA03002_Ohnet.xml	FRA00602_Boisgobey.xml	FRA00401_Allais.xml	FRA06201_Viel-Castel.xml	FRA01202_Feval.xml	FRA00102_Adam.xml	FRA01101_Dombre.xml	FRA01203_Feval.xml	FRA02202_Gouraud.xml	FRA00501_Balzac.xml	FRA02401_LeRouge.xml	FRA05602_Lesueur.xml	FRA00301_Aimard.xml	FRA06601_Peladan.xml	FRA00502_Balzac.xml	FRA04401_Barbusse.xml	FRA07101_Blondel.xml	FRA07001_Mendes.xml	FRA01303_Flaubert.xml	FRA03201_Blandy.xml	FRA01403_Fleuriot.xml	FRA01302_Flaubert.xml	FRA03704_Sand.xml	FRA06001_Rebell.xml	FRA04901_Dumas.xml	FRA01402_Fleuriot.xml	FRA05801_Mille.xml	FRA02101_Girardin.xml	FRA04002_Verne.xml	FRA00801_Dash.xml	FRA01301_Flaubert.xml	FRA03702_Sand.xml	FRA05401_Kock.xml	FRA02201_Gouraud.xml	FRA02702_Maupassant.xml	FRA02301_Greville.xml	FRA01601_GautierJ.xml	FRA03701_Sand.xml	FRA06701_Uchard.xml	FRA01401_Fleuriot.xml	FRA04701_Bourget.xml	FRA03601_Proust.xml	FRA05901_Moselly.xml	FRA01201_Feval.xml	FRA02203_Gouraud.xml	FRA06501_Gyp.xml	FRA02001_Gilbert.xml	FRA03003_Ohnet.xml	FRA01102_Dombre.xml	FRA02601_Malot.xml	FRA06801_Vaillant.xml	FRA00901_Daudet.xml	FRA00101_Adam.xml	FRA03401_Reybaud.xml	FRA00201_Audoux.xml	FRA02701_Maupassant.xml	FRA04601_Bazin.xml	FRA06301_Montepin.xml	FRA00302_Aimard.xml	FRA01002_DelarueMardrus.xml	FRA01701_GautierT.xml	FRA03302_Rattazzi.xml	FRA05201_Feuillet.xml	FRA04801_Corday.xml	FRA02802_Mirbeau.xml	FRA01801_Gay.xml	TOTAL
p	1869	1677	3218	5085	2171	1323	947	2851	1677	5524	1559	592	3236	1630	2662	11166	1580	5082	1490	1034	3012	6991	1276	2366	1385	2758	5868	2560	852	875	1574	518	8379	3876	1122	2423	1900	866	3490	630	1933	2903	1261	629	808	5899	3496	2300	1927	3456	814	474	1965	1525	2718	2955	1574	1331	990	674	881	1516	1517	1810	4893	1336	1476	1091	1873	1569	3758	1509	2003	1395	677	1027	1810	5553	1236	 	882	1182	808	1843	1545	1780	744	749	1321	4382	1972	6534	6284	1279	797	1152	493	800	1652	3282	225137
hi	 	 	149	958	141	4	 	33	 	159	35	11	 	 	 	 	13	37	140	64	85	43	67	8	1	37	10	97	60	43	 	18	 	135	5	 	418	24	159	 	40	46	23	124	9	109	112	164	434	45	1	 	 	 	27	6	264	24	 	18	23	38	 	6	 	53	48	19	 	 	 	114	110	13	142	 	28	6	98	 	2	6	5	129	 	 	1	43	 	12	14	97	71	 	 	148	31	13	589	157	6416
head	85	16	54	66	28	13	30	47	25	75	24	17	38	42	88	99	143	106	40	40	12	36	8	12	29	59	94	31	5	11	31	3	24	44	7	10	61	19	32	141	24	72	17	 	6	45	45	47	 	24	24	21	15	32	20	38	34	4	70	20	21	23	19	26	22	1	56	12	14	23	62	28	46	16	10	5	4	73	12	 	25	7	16	14	19	32	29	10	3	20	32	55	40	32	11	21	18	9	21	89	3279
div	85	20	55	68	17	16	16	48	23	71	25	19	39	38	46	101	141	54	21	57	14	37	8	14	35	60	49	32	8	7	32	3	45	44	9	12	60	21	34	144	24	74	20	3	6	46	47	48	3	25	25	21	16	17	21	40	37	5	68	20	22	33	19	16	23	4	29	12	15	23	33	29	48	16	12	7	4	74	13	 	15	9	16	15	21	32	19	8	4	21	16	52	41	17	16	21	9	11	22	93	3084
milestone	 	 	 	13	6	 	 	1	 	 	 	24	 	 	 	 	 	 	1	1	 	1	4	10	 	 	36	 	 	 	 	 	336	3	55	 	 	16	24	 	6	 	1	2	 	 	1	 	 	 	 	 	 	 	 	 	4	16	 	89	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	3	73	4	1	 	 	3	1	 	 	 	1	 	 	 	 	50	 	19	 	1	1	 	35	 	844
ref	6	7	7	4	8	7	7	7	6	5	7	8	6	7	7	6	9	6	8	6	4	12	6	6	7	6	6	5	6	14	6	6	7	6	5	4	75	43	5	6	5	5	8	6	5	5	6	7	6	6	6	6	6	6	11	7	7	10	6	6	6	7	6	7	7	6	6	7	5	6	19	10	6	6	17	5	5	5	8	 	7	4	5	6	6	7	20	5	6	5	6	6	12	5	6	6	6	5	7	12	785
change	6	6	6	4	4	6	6	6	6	4	4	4	6	6	4	7	6	4	4	6	7	4	6	6	6	4	4	4	6	4	6	4	7	6	6	7	5	4	6	6	6	6	6	6	6	4	6	4	6	4	4	4	6	4	6	6	5	4	4	6	4	6	6	6	6	6	4	6	6	5	6	6	4	6	4	6	4	6	6	 	7	6	6	6	4	6	6	6	5	6	4	4	6	4	6	5	4	4	6	6	526
l	 	 	 	 	20	2	2	 	 	 	 	1	 	9	 	 	 	 	36	4	 	1	 	 	9	 	3	 	 	110	2	 	 	2	 	 	 	7	 	3	 	 	 	 	 	49	 	 	2	 	 	 	 	4	 	 	 	75	 	 	 	 	 	2	 	 	5	 	 	 	 	 	 	 	 	 	9	 	15	 	 	 	 	17	 	 	39	 	8	 	 	 	 	 	48	 	3	1	 	11	499
date	3	4	3	3	3	3	4	2	4	3	4	3	3	4	4	3	4	3	3	4	3	4	2	4	4	4	4	4	4	3	3	3	5	3	3	3	4	3	3	4	2	3	4	4	2	3	3	4	4	3	4	4	3	4	4	4	3	3	3	3	3	4	4	4	3	3	3	3	2	2	4	3	4	4	3	4	3	2	3	 	4	4	2	3	4	4	4	4	3	3	3	4	2	4	4	4	3	3	2	4	333
publisher	3	3	4	3	3	4	4	3	4	2	4	3	3	4	4	4	3	4	3	4	3	3	3	4	4	4	3	3	4	3	3	3	3	3	3	2	4	3	4	4	2	4	4	4	2	2	3	4	4	3	4	4	3	4	4	4	3	3	3	3	3	4	3	4	4	4	3	4	3	3	4	4	4	3	3	4	2	3	4	 	4	3	2	4	4	4	4	3	4	2	3	3	3	3	4	4	3	2	2	3	332
title	3	3	3	4	2	4	4	2	4	4	4	2	3	4	4	3	4	3	2	4	1	2	2	3	4	4	4	4	3	2	4	2	1	3	2	1	4	3	3	4	1	4	3	3	1	2	3	2	3	3	4	4	3	4	3	4	2	2	2	3	2	4	2	4	3	2	2	3	3	4	4	2	4	2	2	1	2	1	3	 	4	1	1	2	4	3	4	3	9	3	2	2	5	3	4	7	2	2	1	3	293
pb	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	289	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	290
bibl	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	3	3	3	3	3	3	4	3	2	2	3	3	3	3	2	3	3	3	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	 	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	2	3	286
author	3	2	2	4	2	4	4	2	4	4	4	2	3	4	4	3	4	3	2	4	1	2	2	3	4	4	3	4	3	2	4	2	1	3	2	1	4	2	3	4	1	4	3	3	1	2	3	2	3	3	4	4	3	4	3	4	2	2	2	3	2	4	2	4	3	2	2	3	3	2	4	2	2	2	2	1	2	1	3	 	3	1	1	2	2	3	4	3	4	3	2	2	3	3	4	2	2	2	1	3	270
label	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	257	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	266
quote	1	 	17	 	 	1	 	7	 	 	 	3	 	 	 	 	 	 	 	5	 	60	6	2	 	16	8	 	4	5	1	 	6	7	 	 	4	 	1	1	5	 	1	7	1	 	1	 	2	 	 	 	 	1	13	 	 	3	 	2	 	1	 	5	 	12	1	 	 	 	 	 	3	1	 	 	1	 	3	 	 	 	1	5	 	 	4	 	2	 	 	1	11	 	1	3	1	1	5	11	264
name	2	2	2	3	4	4	3	2	3	3	3	3	2	3	3	2	6	2	2	5	1	3	2	2	5	3	3	3	1	4	4	2	3	2	2	1	1	2	2	3	2	2	2	2	2	3	1	3	1	2	3	3	2	3	2	2	2	3	2	2	2	5	2	3	2	2	2	2	2	2	3	2	3	2	2	2	8	2	2	 	3	2	2	2	2	1	3	5	2	2	2	3	1	4	3	2	7	2	2	2	254
note	 	 	1	19	2	 	 	1	 	1	 	 	 	 	 	 	4	 	2	 	 	 	 	 	 	 	 	 	 	10	 	 	 	 	 	 	77	45	 	 	 	 	1	1	 	 	 	 	 	 	 	 	 	 	4	 	2	4	 	 	 	 	 	1	 	 	 	 	 	 	12	4	 	 	12	 	 	3	1	 	 	 	 	 	1	 	15	 	 	 	 	 	6	 	 	 	 	 	2	6	237
respStmt	2	2	2	3	3	3	3	2	3	3	3	3	2	3	3	2	3	2	2	3	1	3	2	2	3	3	3	3	1	3	3	2	3	2	2	1	1	2	2	3	2	2	2	2	2	3	1	3	1	2	3	3	2	3	2	2	2	3	2	2	2	3	2	3	2	2	2	2	2	2	3	2	3	2	2	2	3	2	2	 	2	2	2	2	2	1	3	3	2	2	2	3	1	3	3	2	3	2	2	2	228
resp	2	2	2	3	3	3	3	2	3	3	3	3	2	3	3	2	3	2	2	3	1	3	2	2	3	3	3	3	1	3	3	2	3	2	2	1	1	2	2	3	2	2	2	2	2	3	1	3	1	2	3	3	2	3	2	2	2	3	2	2	2	3	2	3	2	2	2	2	2	2	3	2	3	2	2	2	3	2	2	 	2	2	2	2	2	1	3	3	2	2	2	3	1	3	3	2	3	2	2	2	228
foreign	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	7	 	3	 	 	 	 	32	 	 	2	1	 	3	2	 	 	1	 	 	1	 	 	 	 	 	 	105	1	 	 	 	 	 	 	 	 	 	27	 	 	2	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	 	4	4	 	 	 	 	214
emph	 	 	 	 	 	 	 	 	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	90	 	7	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	8	 	 	15	 	 	 	 	131
pubPlace	1	1	2	1	1	2	2	1	2	 	2	1	1	2	2	2	2	1	1	2	 	1	1	2	2	2	1	1	2	1	1	1	 	1	1	 	3	1	1	2	 	2	2	2	 	 	1	2	2	1	2	2	1	2	2	2	1	1	1	1	1	2	1	2	2	2	1	2	1	1	2	2	2	1	 	2	 	 	2	 	2	 	 	2	2	2	2	1	2	 	1	1	1	1	2	2	1	 	 	1	129
term	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	1	2	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	 	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	115
gap	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	8	 	 	 	 	 	 	 	 	 	35	 	 	1	 	 	 	 	 	 	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	28	 	14	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	113
measure	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	111
extent	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
keywords	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
language	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
fileDesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
body	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
langUsage	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
text	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
licence	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
teiHeader	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
size	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
publicationStmt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
reprintCount	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
timeSlot	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
availability	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
authorGender	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
textClass	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
profileDesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
encodingDesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
revisionDesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
distributor	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
titleStmt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
sourceDesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
textDesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
TEI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
front	 	 	 	 	1	1	1	 	1	 	1	1	 	1	1	 	1	1	 	1	 	 	 	 	1	1	1	1	1	1	1	1	1	 	 	 	1	1	 	1	 	 	 	1	 	1	1	1	 	1	1	 	1	1	 	1	1	1	 	 	1	1	 	1	1	1	1	 	1	 	1	 	1	 	1	1	 	 	 	 	1	 	 	1	1	 	1	 	 	1	 	 	 	1	1	 	 	1	1	1	55
back	 	1	1	1	1	 	 	1	 	1	 	 	1	 	 	 	1	 	1	 	1	 	 	1	 	 	 	 	1	1	 	 	1	 	1	1	1	1	1	 	 	1	1	1	 	 	1	 	1	 	 	 	 	 	1	 	1	1	 	 	 	 	 	1	 	1	 	 	 	 	1	1	 	 	1	 	 	1	1	 	 	1	 	 	1	 	1	 	1	 	 	 	1	 	 	 	 	 	1	1	41
trailer	 	 	 	2	 	 	 	1	 	 	1	1	 	 	1	 	1	 	 	 	 	3	 	 	 	1	1	1	 	 	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	4	 	1	 	1	 	2	 	 	 	 	 	 	 	 	2	 	 	 	 	1	3	 	 	1	 	 	1	 	2	 	 	1	 	 	1	 	 	 	1	 	 	 	 	 	 	 	 	 	 	1	 	3	 	 	41
corr	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	30
idno	 	 	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	1	1	 	 	 	 	 	1	 	 	 	 	 	 	 	 	1	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	1	 	 	 	 	 	 	 	1	 	 	 	 	 	 	1	 	 	 	 	 	 	2	 	 	 	1	16
TOTAL	4200	3554	7116	12546	4900	2858	2130	6094	3604	11786	3424	1460	6750	3578	5732	22860	3930	10682	3580	2566	6350	14482	2850	4954	3242	5996	12450	5572	1984	2268	3418	1202	17720	8346	2512	4990	5326	2188	7602	1978	4166	6318	3294	1666	1762	12420	7730	5250	4860	7220	1862	1168	4114	3928	5744	6240	3950	3108	2372	1766	2016	3366	3228	3900	10004	2960	3352	2394	3924	3360	7896	3498	4554	3002	1872	2202	3980	11534	2888	 	1998	2526	1796	4168	3302	3810	1872	1750	2818	8996	4180	13698	13078	2820	1892	2868	1238	1784	4762	7442	494446
